Ministero/Ente Controllante,Società Partecipata,Livello di Partecipazione,Categoria,Quota (%),Note
MEF (Ministero dell'Economia e delle Finanze),Banca Monte dei Paschi di Siena (C),I Livello,Società quotate,"64,23%",(C) Società con azioni quotate in borsa
MEF,Enav (C),I Livello,Società quotate,"53,28%",(C) Società con azioni quotate in borsa
MEF,Enel (C),I Livello,Società quotate,"23,59%",(C) Società con azioni quotate in borsa
MEF,Eni (A C),I Livello,Società quotate,"4,34%","(A) CDP detiene una partecipazione del 25,76% | (C) Società con azioni quotate in borsa"
MEF,Leonardo (C),I Livello,Società quotate,"30,20%",(C) Società con azioni quotate in borsa
MEF,Poste italiane (C D),I Livello,Società quotate,"29,26%",(C) Società con azioni quotate in borsa | (D) CDP detiene una partecipazione del 35%
MEF,Agenzia Attr. Invest. (Invitalia),I Livello,Società con strumenti finanziari quotati,100%,
MEF,AMCO,I Livello,Società con strumenti finanziari quotati,100%,
MEF,Cdp,I Livello,Società con strumenti finanziari quotati,"82,77%",
MEF,Ferrovie dello Stato Italiane,I Livello,Società con strumenti finanziari quotati,100%,
MEF,Rai,I Livello,Società con strumenti finanziari quotati,"99,56%",
MEF,SACE,I Livello,Società con strumenti finanziari quotati,100%,
MEF,Anpal Servizi,I Livello,Società non quotate,100%,
MEF,Arexpo,I Livello,Società non quotate,"39,28%",
MEF,Cinecittà,I Livello,Società non quotate,100%,
MEF,Consap,I Livello,Società non quotate,100%,
MEF,Consip,I Livello,Società non quotate,100%,
MEF,Equitalia giustizia,I Livello,Società non quotate,100%,
MEF,Eur,I Livello,Società non quotate,90%,
MEF,Eutalia,I Livello,Società non quotate,100%,
MEF,Giubileo 2025,I Livello,Società non quotate,100%,
MEF,Gse,I Livello,Società non quotate,100%,
MEF,Infrastrutture Milano Cortina 2020-2026,I Livello,Società non quotate,35%,35% detenuta anche da MIT
MEF,Invimit Sgr,I Livello,Società non quotate,100%,
MEF,Ipzs,I Livello,Società non quotate,100%,
MEF,Italia Trasporto Aereo,I Livello,Società non quotate,100%,
MEF,Mefop,I Livello,Società non quotate,"56,8%",
MEF,PagoPa,I Livello,Società non quotate,100%,
MEF,Ram,I Livello,Società non quotate,100%,
MEF,Sogei,I Livello,Società non quotate,100%,
MEF,Sogesid,I Livello,Società non quotate,100%,
MEF,So.G.I.N.,I Livello,Società non quotate,100%,
MEF,Sose,I Livello,Società non quotate,"88,80%",
MEF,Sport e salute,I Livello,Società non quotate,100%,
MEF,Stm Holding NV (B),I Livello,Società non quotate,50%,"(B) Detiene il 28,23% di STMicroelectronics"
MINISTERO DELLA DIFESA,DIFESA SERVIZI S.p.a.,I Livello,,100%,
Ministero delle Imprese e del Made in Italy,CFI COOPERAZIONE FINANZA IMPRESA S.c.p.a.,I Livello,,"98,55%",
MINISTERO DELL'AGRICOLTURA DELLA SOVRANITA ALIMENTARE E DELLE FORESTE,BUONITALIA S.p.a.,I Livello,,70%,
MINISTERO DELL'AGRICOLTURA DELLA SOVRANITA ALIMENTARE E DELLE FORESTE,UNIRELAB S.r.l.,I Livello,,100%,
MIT Ministero delle infrastrutture e dei Trasporti,FERROVIE APPULO LUCANE S.r.l.,I Livello,,100%,
MIT Ministero delle infrastrutture e dei Trasporti,SOCIETA' INFRASTRUTTURE MILANO CORTINA 2020-2026 S.p.a.,I Livello,,35%,35% detenuta anche dal MEF
MINISTERO DELLA CULTURA (Mic),ALES - ARTE LAVORO E SERVIZI S.p.a.,I Livello,,100%,
INVITALIA,ACCIAIERIE D'ITALIA HOLDING S.p.a.,II Livello,,"38,1%",
INVITALIA,ARRILIRSA S.p.a.,II Livello,,"31,85%",
INVITALIA,BTX ITALIAN RETAIL AND BRANDS S.r.l.,II Livello,,"48,72%",
INVITALIA,CANEPA S.p.a.,II Livello,,30%,
INVITALIA,CDP VENTURE CAPITAL SGR S.p.a.,II Livello,,30%,
INVITALIA,CERAMICA DOLOMITE S.p.a.,II Livello,,"46,67%",
INVITALIA,DRI D'ITALIA S.p.a.,II Livello,,100%,
INVITALIA,CORNELIANI S.p.a.,II Livello,,"48,15%",
INVITALIA,CTC CONCERIA DEL CHIENTI S.p.a.,II Livello,,49%,
INVITALIA,I.P. INIZIATIVE PORTUALI PORTO ROMANO S.r.l.,II Livello,,"34,23%",
INVITALIA,INFRATEL ITALIA S.p.a.,II Livello,,100%,
INVITALIA,INDUSTRIA ITALIANA AUTOBUS S.p.a.,II Livello,,"42,76%",
INVITALIA,INVITALIA PARTECIPAZIONI S.p.a.,II Livello,,100%,
INVITALIA,ITALIA TURISMO S.p.a.,II Livello,,100%,
INVITALIA,ITALIAN COOL DESIGN S.r.l.,II Livello,,35%,
INVITALIA,NICHE FUSINA ROLLED PRODUCTS S.r.l.,II Livello,,100%,
INVITALIA,MEDIOCREDITO CENTRALE - BANCA MEZZOGIORNO S.p.a.,II Livello,,100%,
INVITALIA,S.A.L.P. Società Appalto Lavori Pubblici S.p.a,II Livello,,"30,01%",
INVITALIA,REITHERA S.r.l.,II Livello,,27%,
INVITALIA,TEKLA S.r.l.,II Livello,,"26,33%",
INVITALIA,SICAMB S.p.a.,II Livello,,"30,3%",
INVITALIA,TOSCANA LIFE SCIENCES SVILUPPO S.r.l.,II Livello,,30%,
INVITALIA,TITAGARH FIREMA S.p.a.,II Livello,,"30,3%",
amco,TATOOINE SPV,II Livello,,100%,
amco,INTERPORTO TOSCANO A. VESPUCCI LIVORNO GUASTICCE S.p.a.,II Livello,,"31,48%",
amco,TATOOINE LEASECO S.r.l.,II Livello,,100%,
MONTE DEI PASCHI DI SIENA,AIACE REOCO S.r.l.,II Livello,,100%,
MONTE DEI PASCHI DI SIENA,AXA MPS DANNI S.p.a.,II Livello,,50%,
MONTE DEI PASCHI DI SIENA,AXA MPS VITA S.p.a.,II Livello,,50%,
MONTE DEI PASCHI DI SIENA,CIRENE FINANCE S.r.l.,II Livello,,60%,
MONTE DEI PASCHI DI SIENA,FIDI TOSCANA S.p.a.,II Livello,,"27,46%",
MONTE DEI PASCHI DI SIENA,ENEA REOCO S.r.l.,II Livello,,100%,
MONTE DEI PASCHI DI SIENA,IMMOBILIARE NOVOLI S.p.a.,II Livello,,50%,
MONTE DEI PASCHI DI SIENA,G.IMM.ASTOR S.r.l.,II Livello,,52%,
MONTE DEI PASCHI DI SIENA,MAGAZZINI GENERALI FIDUCIARI DI MANTOVA S.p.a.,II Livello,,100%,
MONTE DEI PASCHI DI SIENA,MICROCREDITO DI SOLIDARIETA' S.p.a.,II Livello,,40%,
MONTE DEI PASCHI DI SIENA,MPS CAPITAL SERVICES S.p.a.,II Livello,,100%,
MONTE DEI PASCHI DI SIENA,MPS COVERED BOND S.r.l.,II Livello,,90%,
MONTE DEI PASCHI DI SIENA,MONTE PASCHI FIDUCIARIA S.p.a.,II Livello,,100%,
