Società Partecipata,Azionista,Quota (%),Tipo Partecipazione
AMCO,MEF,100%,Diretta MEF
ANPAL Servizi,MEF,100%,Diretta MEF
Arexpo,MEF,35.3%,Diretta MEF
Banca MPS,MEF,39.23%,Diretta MEF
Cinecittà,MEF,100%,Diretta MEF
Consap,MEF,100%,Diretta MEF
Consip,MEF,100%,Diretta MEF
ENAV,MEF,53.3%,Diretta MEF
ENEL,MEF,23.6%,Diretta MEF
Equitalia Giustizia,MEF,100%,Diretta MEF
EUR,MEF,90%,Diretta MEF
Eutalia,MEF,100%,Diretta MEF
Ferrovie dello Stato Italiane,MEF,100%,Diretta MEF
Giubileo 2025,MEF,100%,Diretta MEF
GSE,MEF,100%,Diretta MEF
Infr. Milano-Cortina 2020-2026,MEF,35%,Diretta MEF
Invimit SGR,MEF,100%,Diretta MEF
Invitalia,MEF,100%,Diretta MEF
IPZS,MEF,100%,Diretta MEF
Italia Trasporto Aereo,MEF,100%,Diretta MEF
Leonardo,MEF,30.2%,Diretta MEF
MEFOP,MEF,57.7%,Diretta MEF
PagoPA,MEF,100%,Diretta MEF
RAI,MEF,99.5%,Diretta MEF
RAM,MEF,100%,Diretta MEF
SACE,MEF,100%,Diretta MEF
Sogei,MEF,100%,Diretta MEF
Sogesid,MEF,100%,Diretta MEF
Sogin,MEF,100%,Diretta MEF
SOSE,MEF,88.8%,Diretta MEF
Sport e Salute,MEF,100%,Diretta MEF
STMicroelectronics N.V.,MEF,14.1%,Diretta MEF
CDP (Cassa Depositi e Prestiti),MEF,82.7%,Diretta MEF
Ansaldo Energia,CDP,99.5%,Diretta CDP
CDP Immobiliare,CDP,100%,Diretta CDP
CDP Real Asset SGR,CDP,70%,Diretta CDP
CDP Venture Capital SGR,CDP,70%,Diretta CDP
Elite,CDP,15%,Diretta CDP
Enciclopedia Treccani,CDP,6.8%,Diretta CDP
Euronext N.V.,CDP,7.3%,Diretta CDP
F2i SGR,CDP,14%,Diretta CDP
Fincantieri,CDP,71.3%,Diretta CDP
Fintecna,CDP,100%,Diretta CDP
Fondo Italiano di Investimento SGR,CDP,55%,Diretta CDP
GPI,CDP,18.4%,Diretta CDP
Holding Reti Autostradali,CDP,51%,Diretta CDP
Hotelturist,CDP,45.9%,Diretta CDP
Infrafel,CDP,100%,Diretta CDP
Istituto Credito Sportivo,CDP,2.2%,Diretta CDP
ITSART in liq.,CDP,51%,Diretta CDP
Kedrion,CDP,6.6%,Diretta CDP
Mozart Maticmind,CDP,15%,Diretta CDP
Open Fiber Holdings,CDP,60%,Diretta CDP
Redo SGR,CDP,30%,Diretta CDP
Simest,CDP,76%,Diretta CDP
Snam,CDP,31.3%,Diretta CDP
Telecom Italia,CDP,9.8%,Diretta CDP
Terna,CDP,29.8%,Diretta CDP
Trevi Fin. Ind.,CDP,21.3%,Diretta CDP
Valvitalia Finanziaria,CDP,70%,Diretta CDP
Webuild,CDP,16.7%,Diretta CDP
ENI,MEF,4.6%,Mista/Indiretta
ENI,CDP,27.7%,Mista/Indiretta
Poste Italiane,MEF,29.3%,Mista/Indiretta
Poste Italiane,CDP,35%,Mista/Indiretta
GreenIT,CDP,49%,Mista/Indiretta
GreenIT,ENI,51%,Mista/Indiretta
Saipem,CDP,12.8%,Mista/Indiretta
Saipem,ENI,31.1%,Mista/Indiretta
Nexi Group,CDP,13.5%,Mista/Indiretta
Nexi Group,Poste Italiane,3.5%,Mista/Indiretta
Renovit,CDP,30%,Mista/Indiretta
Renovit,Snam,60%,Mista/Indiretta
Italgas,CDP,26%,Mista/Indiretta
Italgas,Snam,13.5%,Mista/Indiretta
PSN (Polo Strategico Nazionale),CDP,20%,Mista/Indiretta
PSN (Polo Strategico Nazionale),Leonardo,20%,Mista/Indiretta
PSN (Polo Strategico Nazionale),Sogei,20%,Mista/Indiretta
